ID | Map evaluation | API evaluation | url_start_via_end |	url_start_via | url_via_end+ 
309848 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.57562,-97.13786&loc=21.14631,79.08491&loc=42.95133,-88.04784","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.57562,-97.13786&loc=21.14631,79.08491","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=21.14631,79.08491&loc=42.95133,-88.04784","url_via_end")
306926 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.85,-87.65&loc=37.2153,-93.2982","url_start_via")|-- 
309849 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.57562,-97.13786&loc=21.14631,79.08491&loc=42.95133,-88.04784","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.57562,-97.13786&loc=21.14631,79.08491","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=21.14631,79.08491&loc=42.95133,-88.04784","url_via_end")
309961 | |  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=44.8548,-93.24171&loc=44.9429618,-93.0981016&loc=43.71453,-98.02556","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=44.8548,-93.24171&loc=44.9429618,-93.0981016","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=44.9429618,-93.0981016&loc=43.71453,-98.02556","url_via_end")
309860 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=39.8044,-75.55001&loc=53.33364,-6.300364","url_start_via")|-- 
309983 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.57562,-97.13782&loc=40.23749,116.6381","url_start_via")|-- 
311254 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.91516,-122.2053&loc=,&loc=41.734428,-121.515656","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.91516,-122.2053&loc=,","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=,&loc=41.734428,-121.515656","url_via_end")
311255 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.91516,-122.2053&loc=,&loc=41.734428,-121.515656","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.91516,-122.2053&loc=,","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=,&loc=41.734428,-121.515656","url_via_end")
311826 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=36.8507689,-76.2858726","url_start_via")|-- 
311828 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=36.8507689,-76.2858726","url_start_via")|-- 
312549 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.57563,-97.13784&loc=45.49844,-115.4716","url_start_via")|-- 
311827 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=36.8507689,-76.2858726","url_start_via")|-- 
312550 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.57563,-97.13784&loc=45.49844,-115.4716","url_start_via")|-- 
312602 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.6526,-73.7562&loc=38.326503,-75.08966700000002&loc=38.46458063965893,-75.05098746699518","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.6526,-73.7562&loc=38.326503,-75.08966700000002","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=38.326503,-75.08966700000002&loc=38.46458063965893,-75.05098746699518","url_via_end")
312603 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.6526,-73.7562&loc=38.326503,-75.08966700000002&loc=38.46458063965893,-75.05098746699518","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.6526,-73.7562&loc=38.326503,-75.08966700000002","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=38.326503,-75.08966700000002&loc=38.46458063965893,-75.05098746699518","url_via_end")
